dolar,Fecha
16.96,01/01/17
17.98,01/12/17
20.26,01/03/18
20.8,01/04/18
21.08,01/05/18
25.98,01/06/18
28.92,01/07/18
28.17,01/08/18
37.75,01/10/18
35.89,01/11/18
35.66,02/11/18
35.66,03/11/18
35.66,04/11/18
35.79,05/11/18
35.65,06/11/18
35.76,07/11/18
35.78,08/11/18
35.55,09/11/18
35.55,10/11/18
35.55,11/11/18
35.55,12/11/18
35.99,13/11/18
36.06,14/11/18
36.3,15/11/18
36.15,16/11/18
36.15,17/11/18
36.15,18/11/18
36.15,19/11/18
36.25,20/11/18
36.43,21/11/18
36.49,22/11/18
37.81,23/11/18
37.81,24/11/18
37.81,25/11/18
39.17,26/11/18
38.67,27/11/18
38.62,28/11/18
37.68,29/11/18
37.68,30/11/18
37.68,01/12/18
37.68,02/12/18
36.67,03/12/18
37.48,04/12/18
37.57,05/12/18
37.88,06/12/18
37.62,07/12/18
37.62,08/12/18
37.62,09/12/18
37.83,10/12/18
37.71,11/12/18
37.75,12/12/18
38.1,13/12/18
38.47,14/12/18
38.47,15/12/18
38.47,16/12/18
38.53,17/12/18
38.52,18/12/18
38.58,19/12/18
38.41,20/12/18
38.14,21/12/18
38.14,22/12/18
38.14,23/12/18
38.14,24/12/18
38.14,25/12/18
38.55,26/12/18
38.68,27/12/18
38.11,28/12/18
38.11,29/12/18
38.11,30/12/18
38.11,31/12/18
38.11,01/01/19
37.82,02/01/19
37.68,03/01/19
37.56,04/01/19
37.56,05/01/19
37.56,06/01/19
37.37,07/01/19
37.75,08/01/19
37.45,09/01/19
37.34,10/01/19
37.09,11/01/19
37.09,12/01/19
37.09,13/01/19
36.99,14/01/19
37.28,15/01/19
37.62,16/01/19
37.85,17/01/19
37.82,18/01/19
37.82,19/01/19
37.82,20/01/19
37.76,21/01/19
37.68,22/01/19
37.65,23/01/19
37.55,24/01/19
37.2,25/01/19
37.2,26/01/19
37.2,27/01/19
37.27,28/01/19
37.69,29/01/19
37.57,30/01/19
37.54,31/01/19
37.44,01/02/19
37.44,02/02/19
37.44,03/02/19
37.26,04/02/19
37.27,05/02/19
37.68,06/02/19
37.95,07/02/19
37.92,08/02/19
37.92,09/02/19
37.92,10/02/19
38.09,11/02/19
38.07,12/02/19
38.21,13/02/19
38.4,14/02/19
38.84,15/02/19
38.84,16/02/19
38.84,17/02/19
38.88,18/02/19
39.29,19/02/19
39.87,20/02/19
39.87,21/02/19
39.49,22/02/19
39.49,23/02/19
39.49,24/02/19
39.15,25/02/19
38.9,26/02/19
38.9,27/02/19
39.33,28/02/19
40.16,01/03/19
40.16,02/03/19
40.16,03/03/19
40.16,04/03/19
40.16,05/03/19
40.83,06/03/19
42.81,07/03/19
41.35,08/03/19
41.35,09/03/19
41.35,10/03/19
41.38,11/03/19
41.59,12/03/19
41.23,13/03/19
40.91,14/03/19
40.14,15/03/19
40.14,16/03/19
40.14,17/03/19
40.03,18/03/19
40.6,19/03/19
40.78,20/03/19
41.2,21/03/19
42.13,22/03/19
42.13,23/03/19
42.13,24/03/19
42.12,25/03/19
42.66,26/03/19
44.12,27/03/19
43.82,28/03/19
43.66,29/03/19
43.66,30/03/19
43.66,31/03/19
42.8,01/04/19
42.8,02/04/19
42.96,03/04/19
43.66,04/04/19
43.94,05/04/19
43.94,06/04/19
43.94,07/04/19
43.62,08/04/19
43.36,09/04/19
43.09,10/04/19
42.88,11/04/19
42.43,12/04/19
42.43,13/04/19
42.43,14/04/19
41.8,15/04/19
43.25,16/04/19
42.38,17/04/19
42.38,18/04/19
42.38,19/04/19
42.38,20/04/19
42.38,21/04/19
42.64,22/04/19
42.49,23/04/19
44.43,24/04/19
44.89,25/04/19
46.24,26/04/19
46.24,27/04/19
46.24,28/04/19
44.51,29/04/19
44.27,30/04/19
44.27,01/05/19
44.72,02/05/19
44.35,03/05/19
44.35,04/05/19
44.35,05/05/19
44.57,06/05/19
45.53,07/05/19
45.23,08/05/19
45.08,09/05/19
44.88,10/05/19
44.88,11/05/19
44.88,12/05/19
45.17,13/05/19
44.96,14/05/19
45,15/05/19
44.75,16/05/19
45.14,17/05/19
45.14,18/05/19
45.14,19/05/19
45.3,20/05/19
44.82,21/05/19
44.94,22/05/19
45.12,23/05/19
44.95,24/05/19
44.95,25/05/19
44.95,26/05/19
44.75,27/05/19
44.66,28/05/19
44.39,29/05/19
44.49,30/05/19
44.84,31/05/19
44.84,01/06/19
44.84,02/06/19
44.98,03/06/19
44.6,04/06/19
44.85,05/06/19
44.95,06/06/19
44.85,07/06/19
44.85,08/06/19
44.85,09/06/19
44.85,10/06/19
44.51,11/06/19
43.6,12/06/19
43.28,13/06/19
44.09,14/06/19
44.09,15/06/19
44.09,16/06/19
44.09,17/06/19
43.45,18/06/19
43.33,19/06/19
43.33,20/06/19
42.97,21/06/19
42.97,22/06/19
42.97,23/06/19
42.49,24/06/19
42.59,25/06/19
42.75,26/06/19
42.75,27/06/19
42.48,28/06/19
42.48,29/06/19
42.48,30/06/19
42.41,01/07/19
42.26,02/07/19
41.95,03/07/19
41.91,04/07/19
41.82,05/07/19
41.82,06/07/19
41.82,07/07/19
41.82,08/07/19
41.82,09/07/19
42,10/07/19
41.62,11/07/19
41.69,12/07/19
41.69,13/07/19
41.69,14/07/19
42.44,15/07/19
42.73,16/07/19
42.49,17/07/19
42.5,18/07/19
42.28,19/07/19
42.28,20/07/19
42.28,21/07/19
42.62,22/07/19
42.75,23/07/19
42.94,24/07/19
43.29,25/07/19
43.61,26/07/19
43.61,27/07/19
43.61,28/07/19
43.65,29/07/19
43.97,30/07/19
44.07,31/07/19
44.52,01/08/19
44.66,02/08/19
44.66,03/08/19
44.66,04/08/19
45.59,05/08/19
45.34,06/08/19
45.57,07/08/19
45.5,08/08/19
45.28,09/08/19
45.28,10/08/19
45.28,11/08/19
54.52,12/08/19
58.16,13/08/19
60.73,14/08/19
57.67,15/08/19
55.88,16/08/19
55.88,17/08/19
55.88,18/08/19
55.88,19/08/19
55.17,20/08/19
55.02,21/08/19
55.05,22/08/19
54.76,23/08/19
54.76,24/08/19
54.76,25/08/19
55.3,26/08/19
56.64,27/08/19
59.4,28/08/19
57.69,29/08/19
61.96,30/08/19
61.96,31/08/19
61.96,01/09/19
60.03,02/09/19
59.77,03/09/19
59.64,04/09/19
60.64,05/09/19
62.35,06/09/19
62.35,07/09/19
62.35,08/09/19
61.09,09/09/19
62.6,10/09/19
63.49,11/09/19
64.89,12/09/19
69.21,13/09/19
69.21,14/09/19
69.21,15/09/19
66.6,16/09/19
65.38,17/09/19
65.37,18/09/19
63.78,19/09/19
64.67,20/09/19
64.67,21/09/19
64.67,22/09/19
64.23,23/09/19
61.83,24/09/19
62.05,25/09/19
60.96,26/09/19
60.78,27/09/19
60.78,28/09/19
60.78,29/09/19
61.02,30/09/19
62.9,01/10/19
62.7,02/10/19
61.99,03/10/19
63.42,04/10/19
63.42,05/10/19
63.42,06/10/19
62.58,07/10/19
62.98,08/10/19
64.48,09/10/19
64.83,10/10/19
66.53,11/10/19
66.53,12/10/19
66.53,13/10/19
66.53,14/10/19
66.5,15/10/19
66.85,16/10/19
70.11,17/10/19
70.98,18/10/19
70.98,19/10/19
70.98,20/10/19
71.68,21/10/19
74.96,22/10/19
71.73,23/10/19
73.23,24/10/19
77.14,25/10/19
77.14,26/10/19
77.14,27/10/19
76.8,28/10/19
73.01,29/10/19
74.81,30/10/19
76.27,31/10/19
76.28,01/11/19
76.28,02/11/19
76.28,03/11/19
74.49,04/11/19
73.73,05/11/19
73.87,06/11/19
72.92,07/11/19
73.62,08/11/19
73.62,09/11/19
73.62,10/11/19
72.15,11/11/19
72.67,12/11/19
71.51,13/11/19
71.84,14/11/19
71.56,15/11/19
71.56,16/11/19
71.56,17/11/19
71.56,18/11/19
72.38,19/11/19
71.97,20/11/19
71.47,21/11/19
71.61,22/11/19
71.61,23/11/19
71.61,24/11/19
70.93,25/11/19
70.11,26/11/19
70.66,27/11/19
70.97,28/11/19
72.7,29/11/19
72.7,30/11/19
72.7,01/12/19
72.54,02/12/19
72.2,03/12/19
73.69,04/12/19
75.81,05/12/19
75.39,06/12/19
75.39,07/12/19
75.39,08/12/19
73.4,09/12/19
72.79,10/12/19
73.16,11/12/19
70.16,12/12/19
70.38,13/12/19
70.38,14/12/19
70.38,15/12/19
73.11,16/12/19
73.12,17/12/19
71.49,18/12/19
70.93,19/12/19
71.09,20/12/19
71.09,21/12/19
71.09,22/12/19
72.61,23/12/19
72.61,24/12/19
72.61,25/12/19
71.54,26/12/19
72.09,27/12/19
72.09,28/12/19
72.09,29/12/19
72.43,30/12/19
72.43,31/12/19
72.43,01/01/20
74.51,02/01/20
75.88,03/01/20
75.88,04/01/20
75.88,05/01/20
75.8,06/01/20
76.03,07/01/20
74.81,08/01/20
76.22,09/01/20
77.65,10/01/20
77.65,11/01/20
77.65,12/01/20
79.9,13/01/20
79.27,14/01/20
79.4,15/01/20
80.03,16/01/20
79.62,17/01/20
79.62,18/01/20
79.62,19/01/20
79.89,20/01/20
79.93,21/01/20
80.32,22/01/20
81.57,23/01/20
81.86,24/01/20
81.86,25/01/20
81.86,26/01/20
81.84,27/01/20
82.71,28/01/20
82.22,29/01/20
82.97,30/01/20
83.79,31/01/20
83.79,01/02/20
83.79,02/02/20
82.56,03/02/20
82.9,04/02/20
82.83,05/02/20
82.66,06/02/20
82.43,07/02/20
82.43,08/02/20
82.43,09/02/20
82.29,10/02/20
82.32,11/02/20
81.56,12/02/20
81.95,13/02/20
82.19,14/02/20
82.19,15/02/20
82.19,16/02/20
81.52,17/02/20
80.44,18/02/20
80.74,19/02/20
80.18,20/02/20
79.75,21/02/20
79.75,22/02/20
79.75,23/02/20
79.75,24/02/20
79.75,25/02/20
79.81,26/02/20
79.56,27/02/20
80.87,28/02/20
80.87,29/02/20
80.87,01/03/20
81.25,02/03/20
80.8,03/03/20
80.35,04/03/20
80.13,05/03/20
81.61,06/03/20
81.61,07/03/20
81.61,08/03/20
85.12,09/03/20
83.4,10/03/20
85.76,11/03/20
87.48,12/03/20
88.22,13/03/20
88.22,14/03/20
88.22,15/03/20
88.17,16/03/20
86.9,17/03/20
88.35,18/03/20
88.53,19/03/20
91.4,20/03/20
91.4,21/03/20
91.4,22/03/20
91.4,23/03/20
91.4,24/03/20
86.79,25/03/20
83.2,26/03/20
85.42,27/03/20
85.42,28/03/20
85.42,29/03/20
85.96,30/03/20
85.96,31/03/20
87.88,01/04/20
87.78,02/04/20
88.42,03/04/20
88.42,04/04/20
88.42,05/04/20
89.57,06/04/20
90.44,07/04/20
94.27,08/04/20
94.27,09/04/20
94.27,10/04/20
94.27,11/04/20
94.27,12/04/20
